DATE,DJIA
1/1/2013,13615.32286
2/1/2013,13967.33
3/1/2013,14418.258
4/1/2013,14675.90909
5/1/2013,15172.18045
6/1/2013,15035.7545
7/1/2013,15390.21136
8/1/2013,15195.34773
9/1/2013,15269.841
10/1/2013,15289.2913
11/1/2013,15870.828
12/1/2013,16095.77476
1/1/2014,16243.72238
2/1/2014,15958.44316
3/1/2014,16308.62762
4/1/2014,16399.50238
5/1/2014,16567.25476
6/1/2014,16843.75476
7/1/2014,16988.26409
8/1/2014,16775.15429
9/1/2014,17098.12667
10/1/2014,16701.87043
11/1/2014,17648.97737
12/1/2014,17754.24045
1/1/2015,17542.255
2/1/2015,17945.41211
3/1/2015,17931.745
4/1/2015,17970.51333
5/1/2015,18124.713
6/1/2015,17927.21909
7/1/2015,17795.01682
8/1/2015,17061.59333
9/1/2015,16339.95
10/1/2015,17182.28227
11/1/2015,17723.7685
12/1/2015,17542.855
1/1/2016,16305.25211
2/1/2016,16299.8985
3/1/2016,17302.14273
4/1/2016,17844.36571
5/1/2016,17692.32
6/1/2016,17754.86773
7/1/2016,18341.1825
8/1/2016,18495.18739
9/1/2016,18267.40286
10/1/2016,18184.54667
11/1/2016,18697.32667
12/1/2016,19712.42381
1/1/2017,19908.1525
2/1/2017,20424.14421
3/1/2017,20823.05783
4/1/2017,20684.69368
5/1/2017,20936.81136
6/1/2017,21317.79545
7/1/2017,21581.251
8/1/2017,21914.07696
9/1/2017,22173.414
10/1/2017,23036.23727
11/1/2017,23557.92952
12/1/2017,24545.384
1/1/2018,25804.01762
2/1/2018,24981.54526
3/1/2018,24582.17048
4/1/2018,24304.21286
5/1/2018,24572.53227
6/1/2018,24790.1081
7/1/2018,24978.23143
8/1/2018,25629.98826
9/1/2018,26232.66789
10/1/2018,25609.34174
11/1/2018,25258.67524
12/1/2018,23805.54526
1/1/2019,24157.79524
2/1/2019,25605.52684
3/1/2019,25722.62095
4/1/2019,26401.57714
5/1/2019,25744.78864
6/1/2019,26160.101
7/1/2019,27089.18682
8/1/2019,26058.225
9/1/2019,26900.214
10/1/2019,26736.79609
11/1/2019,27797.046
12/1/2019,28167.00571
1/1/2020,28879.99429
2/1/2020,28519.73158
3/1/2020,22637.42091
4/1/2020,23293.9
5/1/2020,24271.0215
6/1/2020,26062.27
7/1/2020,26385.83091
8/1/2020,27821.36714
9/1/2020,27733.39619
10/1/2020,28005.105
11/1/2020,29124.0365
12/1/2020,30148.58
1/1/2021,30821.35263
2/1/2021,31283.91
3/1/2021,32373.29087
4/1/2021,33803.28619
5/1/2021,34270.3085
6/1/2021,34289.90727
7/1/2021,34798.80429
8/1/2021,35243.96545
9/1/2021,34688.42143
10/1/2021,35055.5181
11/1/2021,35848.57095
12/1/2021,35641.33409
1/1/2022,35456.145
2/1/2022,34648.48053
3/1/2022,34029.74043
4/1/2022,34314.99
5/1/2022,32379.46286
6/1/2022,31446.71286
7/1/2022,31535.3235
8/1/2022,33009.56478
,
,
