DATE,GCE
1976-01-01,401.291
1976-04-01,400.985
1976-07-01,403.517
1976-10-01,410.818
1977-01-01,421.202
1977-04-01,431.362
1977-07-01,438.014
1977-10-01,446.749
1978-01-01,452.589
1978-04-01,472.288
1978-07-01,484.229
1978-10-01,496.241
1979-01-01,501.818
1979-04-01,516.508
1979-07-01,533.106
1979-10-01,547.775
1980-01-01,568.781
1980-04-01,588.547
1980-07-01,592.169
1980-10-01,608.893
1981-01-01,633.35
1981-04-01,648.673
1981-07-01,657.774
1981-10-01,677.727
1982-01-01,688.104
1982-04-01,703.093
1982-07-01,717.344
1982-10-01,737.351
1983-01-01,747.852
1983-04-01,761.061
1983-07-01,782.216
1983-10-01,775.099
1984-01-01,794.021
1984-04-01,819.132
1984-07-01,835.72
1984-10-01,862.769
1985-01-01,875.592
1985-04-01,900.527
1985-07-01,927.363
1985-10-01,938.584
1986-01-01,946.803
1986-04-01,967.519
1986-07-01,993.597
1986-10-01,996.385
1987-01-01,1008.681
1987-04-01,1025.219
1987-07-01,1036.195
1987-10-01,1056.024
1988-01-01,1056.893
1988-04-01,1070.421
1988-07-01,1078.19
1988-10-01,1109.916
1989-01-01,1116.559
1989-04-01,1145.809
1989-07-01,1164.58
1989-10-01,1180.5
1990-01-01,1212.45
1990-04-01,1230.721
1990-07-01,1242.584
1990-10-01,1268.467
1991-01-01,1284.187
1991-04-01,1296.577
1991-07-01,1306.265
1991-10-01,1308.774
1992-01-01,1326.421
1992-04-01,1334.807
1992-07-01,1353.997
1992-10-01,1362.775
1993-01-01,1351.818
1993-04-01,1359.066
1993-07-01,1367.411
1993-10-01,1381.394
1994-01-01,1373.35
1994-04-01,1389.392
1994-07-01,1423.432
1994-10-01,1422.923
1995-01-01,1437.596
1995-04-01,1452.892
1995-07-01,1455.659
1995-10-01,1451.575
1996-01-01,1471.295
1996-04-01,1487.662
1996-07-01,1496.733
1996-10-01,1515.702
1997-01-01,1515.985
1997-04-01,1542.541
1997-07-01,1555.224
1997-10-01,1574.782
1998-01-01,1568.029
1998-04-01,1603.691
1998-07-01,1627.262
1998-10-01,1647.452
1999-01-01,1669.139
1999-04-01,1694.757
1999-07-01,1733.984
1999-10-01,1781.74
2000-01-01,1789.895
2000-04-01,1822.524
2000-07-01,1832.078
2000-10-01,1861.253
2001-01-01,1906.253
2001-04-01,1947.731
2001-07-01,1953.408
2001-10-01,1992.742
2002-01-01,2040.01
2002-04-01,2074.482
2002-07-01,2101.256
2002-10-01,2142.232
2003-01-01,2172.01
2003-04-01,2198.793
2003-07-01,2220.432
2003-10-01,2251.164
2004-01-01,2286.594
2004-04-01,2320.682
2004-07-01,2356.371
2004-10-01,2388.847
2005-01-01,2426.138
2005-04-01,2452.246
2005-07-01,2494.438
2005-10-01,2528.432
2006-01-01,2580.086
2006-04-01,2610.565
2006-07-01,2630.28
2006-10-01,2674.454
2007-01-01,2718.491
2007-04-01,2769.958
2007-07-01,2808.718
2007-10-01,2865.057
2008-01-01,2909.64
2008-04-01,2971.642
2008-07-01,3029.032
2008-10-01,3021.826
2009-01-01,3022.046
2009-04-01,3070.452
2009-07-01,3092.057
2009-10-01,3120.796
2010-01-01,3133.819
2010-04-01,3165.768
2010-07-01,3158.3
2010-10-01,3164.313
2011-01-01,3155.763
2011-04-01,3168.257
2011-07-01,3136.923
2011-10-01,3130.773
2012-01-01,3144.043
2012-04-01,3130.453
2012-07-01,3139.11
2012-10-01,3132.275
2013-01-01,3125.426
2013-04-01,3132.647
2013-07-01,3134.837
2013-10-01,3139.284
2014-01-01,3138.239
2014-04-01,3154.082
2014-07-01,3191.776
2014-10-01,3191.187
2015-01-01,3189.309
2015-04-01,3231.977
2015-07-01,3250.55
2015-10-01,3254.504
2016-01-01,3270.235
2016-04-01,3287.403
2016-07-01,3315.751
2016-10-01,3338.825
2017-01-01,3355.304
2017-04-01,3371.282
2017-07-01,3395.05
2017-10-01,3457.713
2018-01-01,3503.441
2018-04-01,3561.682
2018-07-01,3613.647
2018-10-01,3636.308
2019-01-01,3688.279
2019-04-01,3744.366
2019-07-01,3785.075
2019-10-01,3821.871
2020-01-01,3883.041
2020-04-01,3951.815
2020-07-01,3922.861
2020-10-01,3957.812
2021-01-01,4088.659
2021-04-01,4124.384
2021-07-01,4183.144
2021-10-01,4246.682
2022-01-01,4311.366
2022-04-01,4412.776
