DATE,GPDI
1976-01-01,304.638
1976-04-01,322.303
1976-07-01,328.307
1976-10-01,337.65
1977-01-01,360.313
1977-04-01,389.703
1977-07-01,414.134
1977-10-01,422.299
1978-01-01,434.799
1978-04-01,470.584
1978-07-01,492.368
1978-10-01,515.755
1979-01-01,525.809
1979-04-01,539.293
1979-07-01,545.621
1979-10-01,547.875
1980-01-01,554.562
1980-04-01,519.294
1980-07-01,495.071
1980-10-01,551.472
1981-01-01,619.381
1981-04-01,609.843
1981-07-01,652.297
1981-10-01,643.395
1982-01-01,588.318
1982-04-01,593.621
1982-07-01,592.954
1982-10-01,549.242
1983-01-01,565.52
1983-04-01,613.783
1983-07-01,652.269
1983-10-01,718.496
1984-01-01,790.872
1984-04-01,818.894
1984-07-01,838.852
1984-10-01,831.741
1985-01-01,809.865
1985-04-01,827.04
1985-07-01,822.157
1985-10-01,859.545
1986-01-01,863.457
1986-04-01,855.237
1986-07-01,835.832
1986-10-01,842.063
1987-01-01,871.196
1987-04-01,874.588
1987-07-01,876.466
1987-10-01,946.459
1988-01-01,908.569
1988-04-01,934.525
1988-07-01,942.009
1988-10-01,962.748
1989-01-01,1005.487
1989-04-01,1001.047
1989-07-01,996.46
1989-10-01,995.809
1990-01-01,1010.838
1990-04-01,1014.72
1990-07-01,1000.785
1990-10-01,947.453
1991-01-01,924.569
1991-04-01,926.541
1991-07-01,947.476
1991-10-01,978.788
1992-01-01,956.817
1992-04-01,1013.084
1992-07-01,1024.162
1992-10-01,1057.962
1993-01-01,1083.829
1993-04-01,1094.479
1993-07-01,1095.852
1993-10-01,1153.142
1994-01-01,1201.675
1994-04-01,1264.948
1994-07-01,1251.749
1994-10-01,1307.566
1995-01-01,1327.586
1995-04-01,1303.988
1995-07-01,1303.248
1995-10-01,1335.135
1996-01-01,1355.353
1996-04-01,1418.388
1996-07-01,1474.35
1996-10-01,1480.128
1997-01-01,1522.404
1997-04-01,1590.218
1997-07-01,1625.251
1997-10-01,1644.529
1998-01-01,1712.324
1998-04-01,1695.773
1998-07-01,1741.623
1998-10-01,1796.964
1999-01-01,1853.063
1999-04-01,1848.341
1999-07-01,1893.735
1999-10-01,1953.097
2000-01-01,1950.65
2000-04-01,2075.786
2000-07-01,2059.969
2000-10-01,2067.227
2001-01-01,1971.333
2001-04-01,1973.033
2001-07-01,1944.909
2001-10-01,1850.091
2002-01-01,1912.659
2002-04-01,1933.282
2002-07-01,1933.197
2002-10-01,1942.531
2003-01-01,1960.221
2003-04-01,1972.386
2003-07-01,2044.304
2003-10-01,2131.311
2004-01-01,2154.052
2004-04-01,2262.607
2004-07-01,2318.272
2004-10-01,2390.082
2005-01-01,2486.068
2005-04-01,2476.474
2005-07-01,2531.076
2005-10-01,2645.263
2006-01-01,2709.74
2006-04-01,2709.252
2006-07-01,2709.42
2006-10-01,2675.406
2007-01-01,2664.295
2007-04-01,2699.217
2007-07-01,2685.969
2007-10-01,2642.56
2008-01-01,2563.701
2008-04-01,2540.595
2008-07-01,2498.242
2008-10-01,2307.915
2009-01-01,2014.878
2009-04-01,1863.65
2009-07-01,1841.416
2009-10-01,1998.71
2010-01-01,2038.161
2010-04-01,2148.795
2010-07-01,2236.495
2010-10-01,2238.44
2011-01-01,2205.962
2011-04-01,2297.352
2011-07-01,2322.84
2011-10-01,2504.095
2012-01-01,2567.75
2012-04-01,2636.863
2012-07-01,2644.119
2012-10-01,2638.282
2013-01-01,2738.236
2013-04-01,2775.276
2013-07-01,2879.995
2013-10-01,2910.546
2014-01-01,2899.216
2014-04-01,3030.425
2014-07-01,3107.62
2014-10-01,3139.452
2015-01-01,3245.05
2015-04-01,3245.825
2015-07-01,3251.67
2015-10-01,3206.098
2016-01-01,3174.386
2016-04-01,3178.537
2016-07-01,3185.73
2016-10-01,3281.493
2017-01-01,3276.442
2017-04-01,3353.022
2017-07-01,3424.957
2017-10-01,3488.077
2018-01-01,3551.123
2018-04-01,3601.037
2018-07-01,3703.037
2018-10-01,3714.345
2019-01-01,3778.82
2019-04-01,3820.035
2019-07-01,3849.409
2019-10-01,3780.303
2020-01-01,3737.555
2020-04-01,3161.422
2020-07-01,3743.278
2020-10-01,3929.446
2021-01-01,3902.314
2021-04-01,3943.4
2021-07-01,4109.122
2021-10-01,4499.171
2022-01-01,4671.027
2022-04-01,4609.927
