DATE,A024RC1Q027SBEA
1976-01-01,189.571
1976-04-01,193.669
1976-07-01,198.561
1976-10-01,204.247
1977-01-01,210.725
1977-04-01,217.476
1977-07-01,224.499
1977-10-01,231.796
1978-01-01,239.366
1978-04-01,247.493
1978-07-01,256.178
1978-10-01,265.419
1979-01-01,275.218
1979-04-01,285.343
1979-07-01,295.793
1979-10-01,306.569
1980-01-01,317.67
1980-04-01,329.033
1980-07-01,340.656
1980-10-01,352.541
1981-01-01,364.687
1981-04-01,376.443
1981-07-01,387.808
1981-10-01,398.783
1982-01-01,409.367
1982-04-01,418.011
1982-07-01,424.714
1982-10-01,429.476
1983-01-01,432.297
1983-04-01,436.021
1983-07-01,440.648
1983-10-01,446.177
1984-01-01,452.61
1984-04-01,459.545
1984-07-01,466.985
1984-10-01,474.928
1985-01-01,483.375
1985-04-01,491.968
1985-07-01,500.708
1985-10-01,509.594
1986-01-01,518.627
1986-04-01,527.418
1986-07-01,535.968
1986-10-01,544.275
1987-01-01,552.34
1987-04-01,561.153
1987-07-01,570.713
1987-10-01,581.022
1988-01-01,591.862
1988-04-01,602.619
1988-07-01,613.292
1988-10-01,623.882
1989-01-01,634.387
1989-04-01,644.682
1989-07-01,654.766
1989-10-01,664.64
1990-01-01,674.302
1990-04-01,683.805
1990-07-01,693.148
1990-10-01,702.332
1991-01-01,711.356
1991-04-01,719.005
1991-07-01,725.281
1991-10-01,730.182
1992-01-01,733.71
1992-04-01,738.791
1992-07-01,745.424
1992-10-01,753.611
1993-01-01,763.351
1993-04-01,773.191
1993-07-01,783.131
1993-10-01,793.171
1994-01-01,803.311
1994-04-01,815.045
1994-07-01,828.373
1994-10-01,843.295
1995-01-01,859.812
1995-04-01,874.785
1995-07-01,888.215
1995-10-01,900.101
1996-01-01,910.444
1996-04-01,922.048
1996-07-01,934.914
1996-10-01,949.041
1997-01-01,964.43
1997-04-01,979.915
1997-07-01,995.497
1997-10-01,1011.175
1998-01-01,1026.95
1998-04-01,1043.346
1998-07-01,1060.363
1998-10-01,1078.001
1999-01-01,1096.259
1999-04-01,1117.943
1999-07-01,1143.053
1999-10-01,1171.588
2000-01-01,1203.549
2000-04-01,1227.519
2000-07-01,1243.499
2000-10-01,1251.489
2001-01-01,1281.221
2001-04-01,1307.093
2001-07-01,1322.838
2001-10-01,1335.676
2002-01-01,1343.756
2002-04-01,1353.96
2002-07-01,1367.842
2002-10-01,1381.698
2003-01-01,1392.733
2003-04-01,1403.109
2003-07-01,1417.541
2003-10-01,1434.409
2004-01-01,1458.203
2004-04-01,1482.334
2004-07-01,1508.37
2004-10-01,1539.525
2005-01-01,1572.358
2005-04-01,1603.366
2005-07-01,1638.087
2005-10-01,1676.597
2006-01-01,1708.351
2006-04-01,1737.942
2006-07-01,1765.69
2006-10-01,1795.209
2007-01-01,1823.922
2007-04-01,1844.244
2007-07-01,1861.686
2007-10-01,1880.152
2008-01-01,1902.97
2008-04-01,1923.892
2008-07-01,1945.704
2008-10-01,1954.722
2009-01-01,1946.028
2009-04-01,1927.895
2009-07-01,1916.429
2009-10-01,1924.487
2010-01-01,1925.266
2010-04-01,1927.846
2010-07-01,1933.489
2010-10-01,1948.499
2011-01-01,1966.697
2011-04-01,1987.215
2011-07-01,2007.734
2011-10-01,2027.599
2012-01-01,2047.916
2012-04-01,2071.842
2012-07-01,2095.191
2012-10-01,2114.566
2013-01-01,2135.503
2013-04-01,2161.347
2013-07-01,2188.393
2013-10-01,2221.035
2014-01-01,2257.084
2014-04-01,2281.857
2014-07-01,2315.071
2014-10-01,2339.878
2015-01-01,2371.807
2015-04-01,2380.658
2015-07-01,2395.953
2015-10-01,2405.498
2016-01-01,2417.948
2016-04-01,2448.687
2016-07-01,2471.473
2016-10-01,2501.634
2017-01-01,2529.888
2017-04-01,2563.741
2017-07-01,2593.858
2017-10-01,2619.533
2018-01-01,2655.762
2018-04-01,2694.965
2018-07-01,2729.544
2018-10-01,2761.877
2019-01-01,2800.701
2019-04-01,2837.21
2019-07-01,2868.996
2019-10-01,2893.454
2020-01-01,2927.567
2020-04-01,2953.244
2020-07-01,2984.042
2020-10-01,3022.46
2021-01-01,3064.376
2021-04-01,3135.973
2021-07-01,3222.491
2021-10-01,3315.169
2022-01-01,3422.421
2022-04-01,3530.918
